service_id,date,exception_type
1,20230101,1
2,20230101,2
3,20230101,2
4,20230101,2
5,20230101,2
6,20230101,2
7,20230101,2
1,20230109,1
2,20230109,2
3,20230109,2
4,20230109,2
5,20230109,2
6,20230109,2
7,20230109,2
1,20230320,1
2,20230320,2
3,20230320,2
4,20230320,2
5,20230320,2
6,20230320,2
7,20230320,2
1,20230402,1
2,20230402,2
3,20230402,2
4,20230402,2
5,20230402,2
6,20230402,2
7,20230402,2
1,20230406,1
2,20230406,2
3,20230406,2
4,20230406,2
5,20230406,2
6,20230406,2
7,20230406,2
1,20230407,1
2,20230407,2
3,20230407,2
4,20230407,2
5,20230407,2
6,20230407,2
7,20230407,2
1,20230409,1
2,20230409,2
3,20230409,2
4,20230409,2
5,20230409,2
6,20230409,2
7,20230409,2
1,20230501,1
2,20230501,2
3,20230501,2
4,20230501,2
5,20230501,2
6,20230501,2
7,20230501,2
1,20230522,1
2,20230522,2
3,20230522,2
4,20230522,2
5,20230522,2
6,20230522,2
7,20230522,2
1,20230612,1
2,20230612,2
3,20230612,2
4,20230612,2
5,20230612,2
6,20230612,2
7,20230612,2
1,20230619,1
2,20230619,2
3,20230619,2
4,20230619,2
5,20230619,2
6,20230619,2
7,20230619,2
1,20230703,1
2,20230703,2
3,20230703,2
4,20230703,2
5,20230703,2
6,20230703,2
7,20230703,2
1,20230720,1
2,20230720,2
3,20230720,2
4,20230720,2
5,20230720,2
6,20230720,2
7,20230720,2
1,20230807,1
2,20230807,2
3,20230807,2
4,20230807,2
5,20230807,2
6,20230807,2
7,20230807,2
1,20230821,1
2,20230821,2
3,20230821,2
4,20230821,2
5,20230821,2
6,20230821,2
7,20230821,2
1,20231016,1
2,20231016,2
3,20231016,2
4,20231016,2
5,20231016,2
6,20231016,2
7,20231016,2
1,20231106,1
2,20231106,2
3,20231106,2
4,20231106,2
5,20231106,2
6,20231106,2
7,20231106,2
1,20231113,1
2,20231113,2
3,20231113,2
4,20231113,2
5,20231113,2
6,20231113,2
7,20231113,2
1,20231208,1
2,20231208,2
3,20231208,2
4,20231208,2
5,20231208,2
6,20231208,2
7,20231208,2
1,20231225,1
2,20231225,2
3,20231225,2
4,20231225,2
5,20231225,2
6,20231225,2
7,20231225,2


